Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ACC,EQ,February,1485.5,1487.45,1496.95,1474.5,1488.5,1486.95,1485.91,152607,226760973.8,9097,34914,22.88
ACC,EQ,February,1486.95,1492,1502.3,1462.1,1485.25,1487.55,1484.39,232611,345286317,11408,51374,22.09
ACC,EQ,February,1487.55,1485,1487,1461.9,1462.35,1465.55,1469.14,229223,336761311.4,17894,121296,52.92
ACC,EQ,February,1465.55,1466.2,1477.1,1435.1,1442,1442.9,1457.87,266161,388029349.2,17403,101262,38.05
ACC,EQ,February,1442.9,1447.7,1459.6,1435.35,1458,1455.85,1451.59,166282,241373981.9,16444,53791,32.35
ACC,EQ,February,1455.85,1460,1474.6,1452.1,1462.5,1465.7,1462.7,137686,201393739.8,7901,33795,24.54
ACC,EQ,February,1465.7,1467.3,1477.9,1455.55,1455.55,1460.65,1466.52,151885,222741887.3,9325,62600,41.22
ACC,EQ,February,1460.65,1452.5,1474.5,1448.2,1468.7,1467.45,1463.53,218786,320200347.6,13261,60864,27.82
ACC,EQ,February,1467.45,1470,1477,1443.4,1444.1,1447.6,1463.01,237273,347132751,14220,73241,30.87
ACC,EQ,February,1447.6,1448.9,1453.9,1427.95,1436.25,1438.1,1440.59,383587,552591556.7,14109,205282,53.52
ACC,EQ,February,1438.1,1443.45,1443.45,1410.8,1415,1417.5,1418.53,241883,343117160.7,10262,132328,54.71
ACC,EQ,February,1417.5,1422.65,1423.95,1402.7,1409,1411.5,1410.4,554038,781415484.1,19285,370828,66.93
ACC,EQ,March,1411.5,1416,1422,1406.45,1409,1408.95,1413.88,338182,478148872.9,12333,188907,55.86
ACC,EQ,March,1408.95,1417.65,1438.85,1401.65,1404.8,1407.85,1423.37,412473,587100038.8,14078,147427,35.74
ACC,EQ,March,1407.85,1405,1416.9,1390.9,1392.95,1393.7,1400.02,239017,334627404,11562,85392,35.73
